Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position
1,3818,116,0,2061
0,497232,51,4,497002
0,1362603,64,0,1360342
0,10034,10,0,9492
1,553680,110,0,551527
0,720,117,0,1
0,551749,32,4,551012
1,160581,125,0,159610
1,2942,35,0,882
0,802663,60,0,801878
0,1058918,107,0,1056777
1,1105132,105,0,1103840
1,590889,95,0,588715
0,2356776,6,0,2355799
1,5081,18,0,2874
1,82404,9,0,80149
0,3053,21,0,873
1,501852,61,0,499696
0,195717,5,0,194815
1,395040,109,0,392911
1,1166328,30,0,1164352
1,114991,84,0,114542
1,161676,77,0,160684
0,2832,54,0,619
1,26356,43,0,24182
1,603844,96,0,602780
1,18169,8,0,16115
0,508321,34,0,506186
1,29015,27,0,27780
0,646319,102,0,643902
1,346367,42,0,344166
1,2179419,99,0,2176948
0,705460,52,0,703286
0,203063,80,0,200871
1,9199,104,0,7001
0,606833,37,0,604902
0,53186,22,0,51024
0,12912,3,1,12295
1,5374,106,0,4073
0,305003,101,0,302736
0,194168,88,0,192141
1,605835,112,0,604711
1,302402,45,4,301785
1,628874,58,0,628374
0,2355697,100,0,2354525
1,141673,126,0,140918
1,38921,62,0,36609
1,356850,23,4,356083
0,879776,19,0,877512
1,229342,92,0,227192
1,6731,36,0,4560
1,628270,38,0,627785
0,875271,72,2,874933
1,53693,59,0,52560
0,2001346,66,0,1998842
0,122127,119,0,120202
1,32651,26,0,31587
0,573072,93,0,571858
0,13846,12,0,12761
1,64228,75,0,62066
1,238993,68,0,236726
0,479217,78,0,477172
1,967593,56,0,965515
1,18788,25,0,16752
0,1431,20,0,1
1,69895,4,0,67685
1,27802,123,0,25553
1,521,0,4,3
0,149082,120,0,147823
0,551317,82,0,549344
1,85717,40,0,84713
0,2356,7,0,188
1,116089,76,4,115388
0,5373,103,0,3175
0,399746,91,0,397836
0,551038,39,0,548948
1,258202,87,0,255983
1,7513,2,0,7115
0,522056,129,0,520707
0,560632,55,0,560198
1,8796,44,0,6766
0,242101,46,3,241769
0,742170,79,0,739927
1,7341,15,0,5542
1,1092022,122,0,1090076
0,656983,71,0,654773
1,29812,132,0,28472
0,24063,89,0,21859
1,569,74,4,3
0,510087,17,0,508918
1,20468,94,0,18309
0,47761,115,0,45575
1,80858,14,0,80019
0,143770,130,0,141896
0,395811,49,0,393328
1,17708,29,0,16425
1,107570,31,0,105642
1,216636,69,0,214564
1,5239,50,0,3059
1,2117,24,0,3
1,45873,85,0,43711
0,843337,65,0,841178
0,630544,13,0,630077
1,564263,33,0,562332
0,414917,90,0,412986
1,9794,121,0,7884
0,630340,41,0,629867
0,576256,1,0,575726
1,8315,11,0,7779
0,640806,111,0,638620
0,808511,73,0,806334
1,45587,118,0,43530
0,12118,53,0,9896
1,591642,57,4,591283
0,28251,114,0,27310
1,15656,48,0,13635
0,495949,81,0,493973
0,2323,67,0,1850
0,17469,86,0,15220
0,2747,83,0,2046
1,1525088,98,0,1523784
0,1220025,97,0,1218841
1,1560715,16,0,1558235
0,1157244,28,3,1157023
1,292285,128,0,290090
1,352533,108,4,352018
0,429,127,0,1
0,461012,70,3,460530
0,804175,47,0,801998
1,61722,124,0,61057
0,111044,131,0,109113
0,853635,113,0,852247
0,1428134,63,0,1426182
