GeneSubclass,GenomicEndPosition,GeneDbId,GeneLabel,ChromosomeLocation,EncodedProtein,GenomicStartPosition,StrandOrientation,HostTaxon
0,12460992,118,118,12,38,12457699,0,4
0,21664027,171,171,12,37,21662360,1,4
1,14716347,127,127,12,40,14714348,1,4
1,24261916,183,183,12,21,24259394,0,4
0,16959828,144,144,12,37,16958119,1,4
0,22507853,176,176,12,22,22506750,0,4
0,5808507,87,87,12,19,5806811,1,4
1,4686426,76,76,12,21,4684330,0,4
0,19111241,157,157,12,37,19109871,1,4
0,578294,57,57,12,37,576495,0,4
0,7321944,29,29,1,42,7320766,1,3
0,5564839,83,83,12,38,5563799,0,4
0,16126477,137,137,12,19,16125630,0,4
0,16125431,136,136,12,18,16124496,0,4
0,6496823,89,89,12,23,6495699,1,4
0,22866651,178,178,12,38,22865183,1,4
0,517377,186,186,10,22,516034,0,4
0,22420594,175,175,12,37,22418891,0,4
0,6623857,90,90,12,19,6622859,0,4
0,404271,187,187,11,19,403456,0,4
0,901193,59,59,12,22,900303,0,4
0,4478317,21,21,1,42,4476602,1,3
1,6731177,91,91,12,25,6730012,0,4
0,8345450,100,100,12,18,8343849,0,4
0,1190069,63,63,12,38,1189272,0,4
1,166610,3,3,2,33,159343,0,1
0,12080076,45,45,1,4,12076498,1,3
0,7308392,96,96,12,22,7307190,1,4
1,11814846,114,114,12,20,11812601,0,4
0,14246569,122,122,12,37,14244689,0,4
0,15526762,53,53,1,5,15525344,1,3
0,10367781,109,109,12,37,10366297,1,4
0,19353997,158,158,12,18,19353143,1,4
0,11228364,112,112,12,19,11227465,1,4
0,4821949,22,22,1,3,4818629,0,3
0,802447,11,11,7,18,797690,1,2
0,6404545,26,26,1,2,6402818,0,3
0,3890743,20,20,1,5,3888761,1,3
0,7726763,33,33,1,42,7725846,1,3
1,4347332,75,75,12,31,4345470,0,4
0,7085743,95,95,12,18,7084628,1,4
0,14417657,126,126,12,18,14416290,0,4
0,10473550,41,41,1,2,10471814,1,3
0,17169188,146,146,12,37,17167599,1,4
0,17204565,147,147,12,37,17202847,1,4
1,954065,60,60,12,24,950709,1,4
0,7536063,32,32,1,43,7534078,1,3
0,5310760,80,80,12,18,5309435,1,4
0,11930294,115,115,12,37,11928846,1,4
0,1163943,62,62,12,19,1162260,1,4
0,11141122,111,111,12,19,11139777,0,4
0,3552202,18,18,1,11,3549812,0,3
0,14297622,123,123,12,37,14294152,1,4
0,16271105,139,139,12,34,16270171,1,4
0,19098062,156,156,12,18,19092804,1,4
0,1488889,8,8,3,17,1488146,1,1
0,720767,1,1,0,17,720270,1,0
0,1138017,61,61,12,19,1136944,0,4
0,8477276,36,36,1,15,8475756,0,3
0,4986283,79,79,12,19,4984864,1,4
0,6830368,92,92,12,18,6828929,0,4
0,11411332,113,113,12,19,11410333,0,4
0,15699505,133,133,12,18,15698438,1,4
0,3320883,71,71,12,22,3319447,0,4
0,1981630,67,67,12,30,1980224,1,4
0,15368259,130,130,12,18,15366826,0,4
0,14309948,124,124,12,36,14308893,0,4
0,4787700,77,77,12,18,4786735,1,4
0,7223642,27,27,1,1,7222040,1,3
0,10863636,110,110,12,37,10862464,0,4
0,13113318,49,49,1,9,13110727,0,3
0,1537359,16,16,1,6,1535937,0,3
0,6917763,94,94,12,19,6916226,1,4
0,14082326,121,121,12,18,14081394,1,4
0,9633706,105,105,12,19,9632528,0,4
0,5758988,24,24,1,0,5757861,1,3
0,81654,9,9,6,17,80512,1,2
0,23853903,181,181,12,37,23852545,1,4
0,16962662,145,145,12,18,16961430,1,4
1,174089,4,4,2,33,167799,1,1
0,3888303,19,19,1,42,3887290,1,3
0,12055523,116,116,12,19,12054483,1,4
1,99081,2,2,2,33,91365,1,1
0,7438734,98,98,12,18,7437391,1,4
0,4822884,23,23,1,16,4821965,0,3
0,15575248,132,132,12,18,15573908,0,4
1,13184258,50,50,1,29,13181388,1,3
0,9950434,108,108,12,19,9949362,1,4
0,8353309,101,101,12,22,8351207,1,4
0,21338975,168,168,12,22,21337707,1,4
1,16290323,140,140,12,39,16287284,1,4
0,39504,54,54,12,19,38457,0,4
0,24325727,184,184,12,18,24324600,1,4
0,15525233,52,52,1,0,15523344,0,3
1,8224507,35,35,1,20,8221779,0,3
0,22034406,173,173,12,19,22033199,0,4
0,7485958,31,31,1,10,7483058,0,3
1,8082833,99,99,12,24,8078484,1,4
0,1555909,17,17,1,7,1553879,1,3
0,18805214,152,152,12,19,18803756,0,4
0,16044124,135,135,12,37,16042352,0,4
0,1384983,65,65,12,19,1383800,0,4
0,7409936,30,30,1,5,7408131,1,3
0,19092299,155,155,12,18,19091385,1,4
1,9281160,37,37,1,29,9279771,1,3
0,4054701,74,74,12,22,4053424,1,4
0,16306157,141,141,12,19,16305157,1,4
1,8123260,34,34,1,29,8119900,0,3
0,12245091,117,117,12,19,12243976,0,4
0,20537413,162,162,12,18,20536571,0,4
0,3991758,6,6,4,2,3988690,0,1
0,5631591,84,84,12,22,5630353,0,4
0,11528056,43,43,1,0,11526539,1,3
0,9713721,106,106,12,19,9711766,1,4
0,21494170,169,169,12,18,21492995,0,4
0,16917457,143,143,12,38,16914834,0,4
0,22370663,174,174,12,38,22368995,0,4
0,10166666,39,39,1,3,10162488,1,3
0,15205645,129,129,12,41,15204587,1,4
0,1377494,64,64,12,42,1376007,1,4
0,6206204,25,25,1,43,6205003,1,3
1,196430,5,5,2,33,190759,0,1
0,6407978,88,88,12,18,6406782,1,4
1,3668916,72,72,12,44,3665455,0,4
0,1619516,66,66,12,37,1618005,0,4
0,20921047,166,166,12,38,20919837,0,4
0,23094018,179,179,12,19,23092635,0,4
1,2395872,70,70,12,40,2393881,0,4
1,5133342,7,7,5,33,5130638,1,1
0,1681418,12,12,8,19,1679283,0,2
0,13088563,48,48,1,2,13085495,0,3
1,19533804,159,159,12,20,19532201,0,4
1,9534947,104,104,12,26,9531795,0,4
0,1115867,10,10,9,19,1114074,1,2
0,15572469,131,131,12,19,15571309,1,4
0,189059,56,56,12,37,186996,1,4
0,20629260,163,163,12,18,20624929,0,4
1,9897110,107,107,12,20,9895189,0,4
0,20644984,165,165,12,19,20643740,0,4
0,21910490,172,172,12,38,21909174,0,4
0,14737741,51,51,1,13,14736827,1,3
0,12043902,44,44,1,0,12042832,0,3
0,5694837,86,86,12,37,5693386,0,4
0,10471813,40,40,1,6,10470053,1,3
0,18902845,153,153,12,19,18901746,1,4
0,16194865,138,138,12,37,16193285,1,4
0,19068634,154,154,12,18,19067516,1,4
0,17510816,150,150,12,18,17509830,1,4
0,24166126,182,182,12,18,24164795,1,4
1,20643501,164,164,12,24,20641411,1,4
0,15718387,134,134,12,37,15717122,1,4
0,13085487,47,47,1,12,13081270,0,3
0,9818594,38,38,1,0,9817575,1,3
1,2196289,69,69,12,31,2194207,1,4
0,1535813,15,15,1,42,1533903,0,3
1,12991286,46,46,1,29,12990102,0,3
0,20186152,161,161,12,18,20185019,0,4
0,14784791,128,128,12,37,14783577,1,4
0,23555821,180,180,12,18,23554982,1,4
0,17302256,148,148,12,30,17300595,0,4
0,17931183,151,151,12,19,17930112,0,4
0,8501731,102,102,12,19,8500823,1,4
1,7252507,28,28,1,14,7251456,0,3
0,14313028,125,125,12,36,14311819,0,4
1,22703905,177,177,12,20,22702368,1,4
0,690524,0,0,0,17,690027,1,0
0,11526257,42,42,1,8,11525184,1,3
0,13564907,119,119,12,19,13563621,0,4
0,9395484,103,103,12,18,9394522,1,4
1,13800591,120,120,12,27,13799374,1,4
0,5535594,82,82,12,37,5533789,1,4
0,4961093,78,78,12,19,4960051,0,4
0,6835055,93,93,12,19,6834118,1,4
0,2148612,68,68,12,18,2147431,0,4
0,19933346,160,160,12,38,19929547,0,4
0,740910,58,58,12,37,739147,1,4
0,21500635,170,170,12,37,21499448,1,4
0,21207146,167,167,12,18,21206232,0,4
1,7436601,97,97,12,28,7431780,0,4
0,24417944,185,185,12,37,24416316,1,4
0,990467,14,14,1,12,986793,1,3
0,17430624,149,149,12,35,17429500,1,4
0,157156,55,55,12,18,156131,1,4
1,5654798,85,85,12,20,5652840,1,4
0,1988897,13,13,8,19,1987326,0,2
0,3723203,73,73,12,22,3721833,1,4
0,16629275,142,142,12,18,16628019,1,4
0,5418484,81,81,12,32,5417666,1,4
