Sport_Type,Freebase_Id,Official_Website,Commons_Category
1,20,8,17
0,26,0,20
1,22,33,26
1,3,21,13
1,26,23,21
1,26,23,21
1,26,23,21
1,24,9,12
1,19,0,14
1,26,14,20
1,25,22,24
1,26,0,20
1,23,1,18
1,9,27,25
1,5,29,6
1,17,28,2
1,0,3,11
1,26,18,33
1,25,22,24
1,3,21,13
1,26,30,20
1,2,10,15
1,8,20,5
1,19,0,14
1,20,8,17
1,26,0,20
1,7,0,30
1,12,31,27
1,6,19,4
1,26,16,32
1,26,0,3
1,20,8,17
1,26,14,20
1,26,7,9
1,16,26,19
1,26,30,20
1,5,29,6
1,25,22,24
1,26,18,33
1,13,17,31
1,9,27,25
1,26,0,10
1,22,33,26
1,26,14,20
1,14,11,29
1,26,7,9
1,26,0,20
1,26,4,1
1,19,0,14
1,26,5,7
1,26,0,20
1,1,13,23
1,5,29,6
1,26,15,20
1,18,2,20
1,15,32,20
1,26,0,20
1,16,26,19
1,10,25,28
1,8,20,5
1,2,10,15
1,26,0,20
1,0,3,11
1,15,32,20
1,21,24,0
1,26,0,3
1,26,15,20
1,26,0,3
1,21,24,0
1,26,0,8
1,12,31,27
1,26,0,20
1,26,6,20
1,11,0,16
1,26,0,20
1,16,26,19
1,3,21,13
1,4,12,22
1,9,27,25
1,21,24,0
