Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Genomic_Start_Position,Strand_Orientation
1,674303,18,18,1,673725,0
1,947466,44,44,1,947014,1
1,587573,71,71,1,586902,0
1,478865,39,39,1,478194,1
1,1661430,20,20,1,1660327,1
1,9043,56,56,1,8369,0
1,430900,27,27,1,430274,0
1,1573901,40,40,1,1573260,1
1,37689,23,23,1,37021,0
1,4852,25,25,1,4175,1
0,546401,87,87,0,545733,1
1,1104782,82,82,1,1104102,0
1,670988,35,35,1,670362,1
0,1346554,53,53,0,1345826,1
1,1154177,66,66,1,1153497,1
1,1507852,60,60,1,1507205,1
0,430064,9,9,0,429414,1
1,1732531,57,57,1,1731896,0
1,2154696,62,62,1,2154196,0
1,1153891,12,12,1,1153361,0
1,1164151,79,79,1,1163459,0
1,136301,83,83,1,135930,0
1,23414,74,74,1,22770,1
1,1142124,78,78,1,1141357,0
1,1170502,54,54,1,1169873,0
0,388745,85,85,0,388080,1
1,1565614,1,1,1,1565111,1
1,743660,17,17,1,742947,1
1,40393,26,26,1,39713,0
1,1064488,67,67,1,1063814,0
1,475933,69,69,1,475256,0
1,17347,21,21,1,16595,0
1,16318,36,36,1,15653,0
1,905931,43,43,1,905182,0
1,509037,86,86,1,508240,0
1,28212,64,64,1,27637,0
1,1702393,5,5,1,1701380,1
1,472195,50,50,1,471323,1
1,10697,76,76,1,10023,0
1,829209,72,72,1,828511,0
1,590414,58,58,1,589821,1
1,211568,31,31,1,210975,0
1,179239,38,38,1,178622,1
1,17274,14,14,1,16765,1
0,487905,33,33,0,487330,0
1,18257,75,75,1,17595,1
1,7133,46,46,1,6462,0
1,17466,32,32,1,16792,0
1,624606,16,16,1,623983,0
0,1721960,42,42,0,1721430,0
1,7796,51,51,1,7137,0
1,1654501,41,41,1,1653854,1
1,1832,13,13,1,1149,1
1,2105453,24,24,1,2104848,1
1,11162,77,77,1,10509,0
1,20358,63,63,1,19783,1
1,1548861,61,61,1,1548016,1
1,974933,47,47,1,974307,0
1,1690792,4,4,1,1690151,1
1,9429,45,45,1,8836,0
1,840636,6,6,1,840031,1
1,755,55,55,1,93,0
1,1091842,80,80,1,1091081,0
1,4297,73,73,1,3704,1
1,989314,48,48,1,988862,0
1,381646,10,10,1,381053,0
1,5579,84,84,1,4953,1
1,1192387,81,81,1,1191707,0
1,405260,3,3,1,404595,0
1,25270,49,49,1,24593,0
1,468982,19,19,1,468374,0
0,1728460,2,2,0,1728161,0
1,570089,28,28,1,569511,0
1,524975,59,59,1,524382,1
1,738855,29,29,1,738181,0
1,4340,22,22,1,3579,0
1,5600,52,52,1,4947,1
1,2529,30,30,1,1873,1
1,3403,15,15,1,2810,0
1,71817,11,11,1,71311,0
1,1266,0,0,1,595,0
1,490761,70,70,1,490084,0
1,1682099,8,8,1,1681482,0
1,7594,7,7,1,6935,1
1,605502,68,68,1,604933,1
1,4574,34,34,1,3870,0
1,1728056,37,37,1,1727928,0
1,68829,65,65,1,68515,1
